objectid,NTA,Neighborhood,Borough,Postcode,Restaurant Name,Business Address,Bulding Number,Street,globalid,Seating Interest (Sidewalk/Roadway/Both),Legal Business Name,Doing Business As (DBA),Food Service Establishment Permit #,Sidewalk Dimensions (Length),Sidewalk Dimensions (Width),Sidewalk Dimensions (Area),Roadway Dimensions (Length),Roadway Dimensions (Width),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,SLA Serial Number,SLA License Type,Landmark District or Building,landmarkDistrict_terms,healthCompliance_terms,Time of Submission,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,Zip Code,Neighborhood 2
1032,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Kurant,"1091 2nd Ave, Manhattan, NY",1091,2nd Ave,e48bdde6-339e-42af-8122-504e7f693922,both,Babic 1091 INC,Kurant,50002380,13,6,78,13,6,78,yes,yes,yes,1273111,OP,no,,yes,6/19/2020,40.759649,-73.965058,106,4,108,1038618,1013310124,,
1044,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,pita grill,"1083 2nd ave, Manhattan, NY",1083,2nd ave,f7ab1b53-8fb3-4f2e-81ae-9685d7cd305d,sidewalk,pitagrillnyc corp,pitagrillnyc corp,41595314,33,15,495,,,,yes,no,no,,,no,,yes,6/19/2020,40.759462,-73.965196,106,4,108,1038599,1013310021,,
1056,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Yara,"319 E  53rd Street , Manhattan, NY",319 E,53rd Street,a15aed98-53f4-4aa9-880b-19dd58f60e8f,sidewalk,Midtown Eats LLC / Yara,Yara,50086087,25,14,350,,,,yes,no,yes,1315354,OP,no,,yes,6/19/2020,40.75649,-73.966489,106,4,98,1039830,1013460010,,
1106,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,AMMA,"246  East 51st street, Manhattan, NY",246,East 51st street,92358f2a-0036-4d1d-89e3-d7ba69c36c24,both,Anjdev Enterprises Inc,AMMA,40885805,40,10,400,40,10,400,yes,yes,yes,1125952,RW,no,,yes,6/19/2020,40.755991,-73.969244,106,4,98,1038446,1013240030,,
1156,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Parnells Pub,"350  East 53rd street , Manhattan, NY",350,East 53rd street,e9c0e7b4-e4f7-45c8-893b-95fad126f57e,both,John Phil Tavern Corp,Parnells Pub,40382802,120,16,1920,25,12,300,yes,yes,yes,1034195,OP,no,,yes,6/19/2020,40.756245,-73.965959,106,4,98,1039803,1013450030,,
1160,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,"FGNY 690 THIRD AVE, LLC","690 Third Avenue, Manhattan, NY",690,Third Avenue,15aa0cd6-b5f5-4ba6-824d-5ac4f4470707,sidewalk,"FGNY 690 THIRD AVE, LLC",Five Guys,41457674,20,5,100,,,,yes,no,no,,,no,,yes,6/19/2020,40.751776,-73.973728,106,4,92,1036165,1012980036,,
1206,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,CHÂTEAU 49,"924  SECOND AVENUE, Manhattan, NY",924,SECOND AVENUE,024a81fb-21d2-4fd6-85d3-b50ce3fb64cf,roadway,BARREL 1005 CORP,CHÂTEAU 49,50079610,,,,20,8,160,no,yes,yes,1310280,RW,no,,yes,6/19/2020,40.754341,-73.968898,106,4,98,1039464,1013420001,,
1237,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,draught 55,"245  east 55th street, Manhattan, NY",245,east 55th street,32de0109-79bd-4ded-817e-f3eed4f69ba1,sidewalk,3kad llc,draught 55,41705474,28,12,336,,,,yes,no,yes,1266002,OP,no,,yes,6/19/2020,40.758518,-73.967434,106,4,108,1038588,1013290121,,
1319,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Madison Restaurant,"965 1ST AVENUE, Manhattan, NY",965,1ST AVENUE,e4da058e-b458-4302-893a-e289ca369be2,sidewalk,965 FIRST REST. CORP.,MADISON RESTAURANT,41401638,100,15,1500,,,,yes,no,yes,1027130,OP,no,,yes,6/19/2020,40.755855,-73.964725,106,4,98,1039836,1013460023,,
1333,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Sushi You,"246 East 51st Street, Manhattan, NY",246,East 51st Street,8b9123c2-1ce5-432e-8849-7b3ec6eef3a4,both,246 Mieko Inc.,Sushi You,41532156,15,6,90,15,9,135,yes,yes,yes,1283253,OP,no,,yes,6/19/2020,40.755991,-73.969244,106,4,98,1038446,1013240030,,
1411,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,Barolo east,"214 e  49th street , Manhattan, NY",214 e,49th street,b98c501b-cecd-4069-8877-e4066bce00b5,both,Barolo East,Carcaman inc,1/29/2020,12,16,192,10,16,160,yes,yes,yes,1260551,OP,no,,yes,6/19/2020,40.754951,-73.970663,106,4,90,1038030,1013220043,,
1422,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Deux Amis,"356 East 51st Street, Manhattan, NY",356,East 51st Street,64eb9fcd-42ab-4ab6-810d-2d5d4aae5ea4,roadway,"Thafath, Inc.",Deux Amis,40730585,,,,22,8,176,no,yes,yes,1027052,OP,no,,yes,6/19/2020,40.754854,-73.966544,106,4,98,1039614,1013430030,,
1471,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,CHÂTEAU 49,"924 SECOND AVENUE, Manhattan, NY",924,SECOND AVENUE,cb71e5f9-c177-4e35-889f-19e5f13a4d91,both,BARREL 1005 CORP,CHÂTEAU 49,50079610,50,16,800,20,8,160,yes,yes,yes,1310280,RW,no,,yes,6/19/2020,40.754341,-73.968898,106,4,98,1039464,1013420001,,
1476,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Blank Slate Coffee + Kitchen (Midtown),"941 2nd Avenue, Manhattan, NY",941,2nd Avenue,76713f6f-aceb-4217-8a88-63604e79b710,sidewalk,Midtown Kitchen LLC,Blank Slate Coffee + Kitchen,50094180,80,10,800,,,,yes,no,yes,1318883,RW,no,,yes,6/19/2020,40.754789,-73.968598,106,4,98,1038233,1013230029,,
1537,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Pescatore Restaurant,"955  2nd avenue , Manhattan, NY",955,2nd avenue,ab623d9e-81e2-45bb-8cda-0b87c3503e8e,both,EVOO GROUP LLC,Pescatore Restaurant,50056268,19,8,152,19,10,190,yes,yes,yes,1297653,OP,no,,yes,6/19/2020,40.755266,-73.968251,106,4,98,1038443,1013240027,,
1543,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,PIERRE LOTI MIDTOWN,"3001/2 E  52nd street , Manhattan, NY",3001/2 E,52nd street,6a895485-a5e1-4ae3-8e28-20c1b30b3cf0,both,KAZO INC,KAZO INC,41588029,8,30,240,8,30,240,yes,yes,yes,1262904,OP,yes,yes,yes,6/19/2020,40.755977,-73.967255,106,4,98,1080464,1013440049,,
1552,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Deux Amis,"356 East 51st Street, Manhattan, NY",356,East 51st Street,139b473a-3f12-4345-8817-8cd2ba872355,both,Thafath Inc,Thafath Inc,40730585,22,7,154,22,8,176,yes,yes,yes,1027052,OP,no,,yes,6/19/2020,40.754854,-73.966544,106,4,98,1039614,1013430030,,
1583,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10012,Sweetcatch Poke,"642  Lexington Ave, Manhattan, NY",642,Lexington Ave,fae72043-d9df-4c07-835c-4ec032c45f50,both,FSV POKE 1 (MIDTOWN EAST) LLC,Sweetcatch Poke,50059184,14,4,56,14,8,112,yes,yes,no,,,no,,yes,6/19/2020,40.759244,-73.970368,105,4,100,1071461,1013097502,,
1632,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,Alcala Restaurant,"246 E 44th St. , Manhattan, NY",246,E 44th St.,c3af90de-5ccf-4427-8eab-890f0885b098,both,"246 E 44th Restaurant, Inc.",Alcala Restaurant,41675506,23,12,276,23,8,184,yes,yes,yes,1261577,OP,no,,yes,6/19/2020,40.751606,-73.972436,106,4,88,1037567,1013170128,,
1633,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Club A Steakhouse,"240 East 58th Street, Manhattan, NY",240,East 58th Street,411d0a87-b628-420f-804c-15a703a50932,sidewalk,Bruno & Sons Inc,Club A Steakhouse,41351524,40,15,600,,,,yes,no,yes,1026881,OP,no,,yes,6/19/2020,40.760483,-73.966014,106,4,108,1038607,1013310030,,
1736,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10118,Tacombi,"350 5th Avenue / 33rd St (Side of Building b/w 5&6th), Manhattan, NY",350,5th Avenue / 33rd St (Side of Building b/w 5&6th),56fc86ff-1990-43ba-85e9-9a3526163ad4,sidewalk,Salon Imperio LLC,Tacombi Empire State,50072348,70,6,420,,,,yes,no,yes,1295063,OP,yes,yes,yes,6/19/2020,,,,,,,,,
1759,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Empire Steak House,"151 E 50th Street, Manhattan, NY",151,E 50th Street,b64f8f12-feb4-4062-8770-099f6108d909,both,RIJJ Restaurant LLC,Empire Steak House,50047860,68,3,204,68,8,544,yes,yes,yes,1292905,OP,no,,yes,6/19/2020,40.75623,-73.971702,106,4,100,1036455,1013050032,,
1793,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Antico Noè,"220 East 53rd Street, Manhattan, NY",220,East 53rd Street,51cfbd2a-01e9-4f11-8548-cd728c75f0cd,sidewalk,"Antico Noè Panini Lab, Inc",Antico Noè,50046285,5,10,50,,,,yes,no,no,,,no,,yes,6/19/2020,40.757421,-73.968745,106,4,98,1038543,1013260040,,
1824,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,tudor city steakhouse,"45 tudor city place , Manhattan, NY",45,tudor city place,b083070d-677e-42ad-8b59-c0599cefa401,both,45 tudor restaurant llc,tudor city steakhouse,50069643,75,13,975,75,8,600,yes,yes,yes,1300519,OP,yes,yes,yes,6/19/2020,40.749171,-73.970333,106,4,88,1038660,1013350022,,
1826,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,Alibaba Turkish Cuisine,"862 2nd Ave, Manhattan, NY",862,2nd Ave,7b41740a-2f69-4231-8152-5b6e9d5838bd,both,Alibabas Terrace inc,AliAlibaba turkish cuisine,41354676,530,12,6360,18,14,252,yes,yes,yes,1201093,OP,no,,yes,6/19/2020,40.752467,-73.970263,106,4,90,1038895,1013390001,,
1851,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,212 Steakhouse Inc,"316  East 53rd Street, Manhattan, NY",316,East 53rd Street,1eafe7ce-4310-4628-86d2-023cbd37f515,both,212 Steakhouse,212 Steakhouse,50010711,22,4,88,26,7,182,yes,yes,yes,1276538,OP,no,,yes,6/19/2020,40.75649,-73.966533,106,4,98,1039814,1013450045,,
1932,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,Rosie Dunns,"729 Third Avenue, Manhattan, NY",729,Third Avenue,9382fd3f-1dc8-4ce7-89bc-6ffa89abbab2,both,729 Third Avenue Restaurant LLC,Rosie Dunns,50102998,21,15,315,8,21,168,yes,yes,yes,1316855,OP,no,,yes,6/19/2020,40.752978,-73.972825,106,4,90,1037597,1013190103,,
2114,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,The Pressbox,"932 2 avenue, Manhattan, NY",932,2 avenue,{8de56098-8a1c-403f-8677-b22345e2c7b3},both,Branden Restaurant llc,Branden Restaurant llc,40943583,21,8,168,21,10,210,yes,yes,yes,1127371,OP,no,,yes,6/20/2020,40.754536,-73.968757,106,4,98,1039488,1013420153,,
2169,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,SOCARRAT MIDTOWN,"953 2 AVE , Manhattan, NY",1902-08-10T00:00:00.000,2 AVE,{cf54cd65-dd58-414d-8ce9-2dbd285f8273},both,SILO EAST INC.,SOCARRAT MIDTOWN,41660862,16,15,240,16,8,128,yes,yes,yes,1256827,OP,no,,yes,6/20/2020,40.75522,-73.968287,106,4,98,1038442,1013240026,,
2274,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Raku it's Japanese,"212  East 52nd Street , Manhattan, NY",1900-07-30T00:00:00.000,East 52nd Street,{f52320e6-721d-4aaa-8e45-85c14b3f61b6},sidewalk,Raku Japanese Restaurant Inc,Raku Japanese Restaurant Inc,50102459,13,4,52,,,,yes,no,no,,,no,,yes,6/20/2020,40.756847,-73.969326,106,4,98,1038485,1013250047,,
2430,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,draught 55,"245 east 55th street, Manhattan, NY",1900-09-01T00:00:00.000,east 55th street,{8fb83eb5-0b71-494d-860d-a037a4d9db95},sidewalk,3kad llc,draught 55,41705474,28,12,336,,,,yes,no,yes,1266002,OP,no,,yes,6/20/2020,40.758518,-73.967434,106,4,108,1038588,1013290121,,
2451,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,Keats Restaurant,"842  Second ave , Manhattan, NY",1902-04-21T00:00:00.000,Second ave,{d8d91845-2d85-48d5-8735-6ef0f852ff10},both,J V Successors Inc,J V Successors Inc,40365288,18,15,270,15,8,120,yes,yes,yes,1028464,OP,no,,yes,6/20/2020,40.751605,-73.970895,106,4,90,1038769,1013370149,,
2542,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,subway,"834 second avenue, Manhattan, NY",1902-04-13T00:00:00.000,second avenue,{3e6bd02d-2113-4206-8c54-7fb7c8c7650b},sidewalk,second ave catering inc,second ave catering inc,500387716,18,8,144,,,,yes,no,no,,,no,,yes,6/20/2020,40.751432,-73.971025,106,4,90,1038766,1013370104,,
2625,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,Amaze,"694 3rd Avenue , Manhattan, NY",1901-11-24T00:00:00.000,3rd Avenue,{576b8dc6-76b8-42a5-8d6c-6df237b4a0c6},sidewalk,Amaze43corp,Amaze,50058785,48,8,384,,,,yes,no,yes,1255399,OP,no,,yes,6/20/2020,40.751856,-73.973667,106,4,92,1036166,1012980037,,
2636,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Mimi's Restaurant,"984 2 avenue, Manhattan, NY",1902-09-10T00:00:00.000,2 avenue,{ee3a6a11-246e-4f97-8038-d9044b4e465b},roadway,Mimi's Restaurant Inc.,Mimi's Restaurant Inc.,40367728,,,,48,8,384,no,yes,yes,1028567,OP,no,,yes,6/20/2020,40.756224,-73.967529,106,4,98,1039779,1013450001,,
2663,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,Angeletto Restaurant,"890 2nd Avenue, Manhattan, NY",1902-06-08T00:00:00.000,2nd Avenue,{ddc46a9d-e262-471f-84b2-91b6fd29bdf7},sidewalk,Angeletto 2nd Ave INC,Angeletto Restaurant,50073245,50,7,350,,,,yes,no,yes,1308183,OP,no,,yes,6/20/2020,40.753252,-73.969689,106,4,90,1038905,1013400001,,
2749,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Ny Jumbo Bagels,"1070 2nd ave, Manhattan, NY",1902-12-05T00:00:00.000,2nd ave,{2531c0a6-4adb-4912-8fec-8e63cc84e107},sidewalk,Ny Jumbo Bagels,Ny Jumbo Bagels,50084227,10,8,80,,,,yes,no,no,,,no,,yes,6/21/2020,40.758847,-73.965615,106,5,108,1039993,1013490102,,
2854,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Tal bagels,"975-979 1st ave , Manhattan, NY",975-979,1st ave,{4cce3ad1-8994-4f0f-8637-a6216632df74},sidewalk,Tal Bagels,Tal Bagels,Fa0200171,20,14,280,,,,yes,no,no,,,no,,yes,6/21/2020,40.756097,-73.964548,106,4,98,1071924,1013467503,,
2957,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Palace restaurant,"122 E 57 str, Manhattan, NY",1900-05-01T00:00:00.000,E 57 str,{6486fe0c-5670-4dc4-8a7c-8f2dae6f9baf},both,Crosstown diner Corp,Crosstown diner Corp,50007331,20,14,280,20,6,120,yes,yes,yes,1275827,OP,no,,yes,6/21/2020,40.761171,-73.969736,105,4,11203,1036902,1013110161,,
2999,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,Ophelia,"3 Mitchell Place, Manhattan, NY",1900-01-03T00:00:00.000,Mitchell Place,{2844deea-5094-4407-86c1-2cdc1310a4aa},both,Beekman Rooftop LLC,Ophelia,50073401,55,3,165,80,8,640,yes,yes,yes,1304768,OP,yes,yes,yes,6/21/2020,40.753232,-73.966227,106,4,8603,1040076,1013610001,,
3004,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,The Greats of Craft,"983  1st Avenue, Manhattan, NY",1902-09-09T00:00:00.000,1st Avenue,{18e7522b-9131-4884-8120-b2313bc0e477},sidewalk,"Operation Craft I, LLC",The Greats of Craft,50093710,12,25,300,,,,yes,no,yes,1315988,OP,no,,yes,6/21/2020,40.756292,-73.964403,106,4,98,1071924,1013467503,,
3044,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,Oki poke Raman,"135  East 45Th st , Manhattan, NY",1900-05-14T00:00:00.000,East 45Th st,{1ebe671e-fecb-4f39-8048-cc476c62868f},both,Oki poke Raman inc,Oki poke Raman inc,50081134,20,12,240,20,8,160,yes,yes,yes,1313040,RW,no,,yes,6/21/2020,40.753209,-73.974251,106,4,92,1036190,1013000024,,
3156,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,The Perfect Pint,"203E 45th st, Manhattan, NY",203E,45th st,{8699c766-4926-4bd6-8f78-e4584b4f8275},both,203 East 45th Restaurant Inc,The Perfect Pint,41382830,23,14,322,23,8,184,yes,yes,yes,1206956,OP,no,,yes,6/21/2020,40.752545,-73.972674,106,4,90,1037598,1013190104,,
3169,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,Poulette rotisserie,"304 east  49th street, Manhattan, NY",304 east,49th street,{65cb4a9e-808e-4e50-8a6e-6488292a0c1c},both,Nessfood 304 LLC,Nessfood 304 LLC,50047519,11,11,121,11,11,121,yes,yes,no,,,no,,yes,6/21/2020,40.754064,-73.968562,106,4,90,1038933,1013410149,,
3291,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,La Villetta,"399 East 52 Street, Manhattan, NY",1901-02-02T00:00:00.000,East 52 Street,{440b3db3-502e-42a6-865e-9ce952f60ca3},both,Jonilu llc,Jonilu llc,50033167,26,14,364,32,14,448,yes,yes,yes,1283265,RW,no,,yes,6/22/2020,40.754988,-73.964887,106,4,8603,1078256,1013640005,,
3361,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10158,Wagamama,"605 3rd Avenue, Manhattan, NY",1901-08-27T00:00:00.000,3rd Avenue,{f4d57da9-0161-49f1-8ddd-f83013f50c90},sidewalk,Wagamama USA 2015 LLC,Wagamama USA 2015 LLC,50079399,84,4,336,,,,yes,no,yes,B0888458,OP,no,,yes,6/22/2020,40.749076,-73.975682,106,4,88,1082153,1009200012,,
3369,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Blooms Tavern,"208 East 58th Street , Manhattan, NY",1900-07-26T00:00:00.000,East 58th Street,{5e8a3c09-5776-486e-864e-6c1f3a2f4cd6},sidewalk,MMW Cafe LLC,Blooms Tavern,50001948,20,12,240,,,,yes,no,yes,1271774,OP,no,,yes,6/22/2020,40.760689,-73.966505,106,4,108,1038614,1013310043,,
3443,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Juan Valdez Cafe,"140 East 57 Street, Manhattan, NY",1900-05-19T00:00:00.000,East 57 Street,{6fc2f911-df8c-4fe8-8c46-3cd8d8cc7fb6},sidewalk,NFCGC Cafe LLC,NFCGC Cafe LLC,41463601,30,21,630,,,,yes,no,no,,,no,,yes,6/22/2020,40.760792,-73.968826,106,4,11203,1036887,1013110049,,
3448,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Crave Fishbar,"945 2nd avenue, Manhattan, NY",1902-08-02T00:00:00.000,2nd avenue,{19153bba-4b0e-4ad8-8312-b4e2cd82ed4b},roadway,Midtown Hospitality LLC,Crave Fishbar,41671961,,,,20,8,160,no,yes,yes,1270097,OP,no,,yes,6/22/2020,40.755025,-73.968428,106,4,98,1038439,1013240023,,
3516,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,The Shadmoor,"1066  2nd Ave , Manhattan, NY",1902-12-01T00:00:00.000,2nd Ave,{60338820-ce23-4fbc-8e8d-769ecef389cd},both,Shadmoor LLC,Shadmoor LLC,50060885,40,12,480,12,40,480,yes,yes,yes,1299410,OP,no,,yes,6/22/2020,40.758729,-73.965701,106,5,108,1039976,1013490001,,
3644,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,M. M. Jombo's,"991 First Avenue, Manhattan, NY",1902-09-17T00:00:00.000,First Avenue,{228fffa7-64a8-453b-8a9a-ae79a896776d},both,M. M Jimbo's Inc,Jimbo's Hamburgers place,40385515,9,15,135,9,8,72,yes,yes,no,,,no,,yes,6/22/2020,40.756626,-73.964161,106,5,108,1039951,1013470030,,
3701,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,McDonalds,"824 3rd ave, Manhattan, NY",1902-04-03T00:00:00.000,3rd ave,{ac2030d2-eee5-4106-8f1a-935b759d5ce8},sidewalk,"BDC RESTAURANTS, LLC","BDC RESTAURANTS, LLC",41463512,25,5,125,,,,yes,no,no,,,no,,yes,6/22/2020,40.756068,-73.970597,106,4,100,1036456,1013050033,,
3763,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,Udon West 46,"150 East 46th Street, New York, NY 10017, Manhattan, NY",1900-05-29T00:00:00.000,"East 46th Street, New York, NY 10017",{d3767d68-c9d1-442e-8e5d-488966104be3},sidewalk,"Sakaba, Inc.",Udon West,41380163,5,6,30,,,,yes,no,yes,1218083,OP,no,,yes,6/22/2020,40.753719,-73.973561,106,4,92,1036198,1013000046,,
3812,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10010,Areppas LLC,"954  3rd Avenue , Manhattan, NY",1902-08-11T00:00:00.000,3rd Avenue,{6decea69-98a0-4035-83fb-f9319b31b3d7},sidewalk,Areppas LLC,Areppas LLC,50060766,20,10,200,,,,yes,no,yes,1310372,OP,no,,yes,6/22/2020,40.760355,-73.967386,106,4,11203,1036912,1013120033,,
3943,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10002,KARIZMA LOUNGE CORP,"244 EAST 51 STREET, Manhattan, NY",1900-08-31T00:00:00.000,EAST 51 STREET,{53adaf70-4774-4db1-8d28-ef5d8167afca},both,KARIZMA LOUNGE CORP,KARIZMA LOUNGE CORP,41636886,9,8,72,15,8,120,yes,yes,yes,1262705,OP,no,,yes,6/22/2020,40.756005,-73.969276,106,4,98,1038462,1013240131,,
3973,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Kung fu noodle inc,"146  East 55th st, Manhattan, NY",1900-05-25T00:00:00.000,East 55th st,{a9d1ca07-949a-4993-88e1-d827aec27733},both,Kung fu noodle inc,Kung fu little steamed buns and reman,50068448,19,3,57,19,7,133,yes,yes,no,,,no,,yes,6/22/2020,40.759406,-73.969581,106,4,100,1036497,1013090146,,
3977,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Kungfu noodle inc,"146  East 55th st , Manhattan, NY",1900-05-25T00:00:00.000,East 55th st,{8dbbea58-4aaa-4082-89bd-fd46b8c55a52},both,Kung fu noodle inc,Kung fu noodle inc,50068448,19,3,57,19,6,114,yes,yes,yes,1312929,RW,no,,yes,6/22/2020,40.759406,-73.969581,106,4,100,1036497,1013090146,,
4108,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,TacoVision,"244 East 53rd Street, Manhattan, NY",1900-08-31T00:00:00.000,East 53rd Street,{F558E090-B51F-4420-83F3-C307C906DF7F},both,"Turtle Bay Hospitality, LLC",TacoVision,50097472,15,5,75,15,8,120,yes,yes,yes,1309432,OP,no,,yes,6/22/2020,40.757259,-73.968359,106,4,98,1038533,1013260030,,
4255,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Sip Sak,"928  2nd Ave, Manhattan, NY",928,2nd Ave,{51CF342C-3814-40A8-8EDB-F4EE9387576A},sidewalk,SipSak Inc,SipSak Inc,H25 1171023 FS,19,14,266,,,,yes,no,yes,1164525,OP,no,,yes,6/23/2020,40.754437,-73.968829,106,4,98,1039465,1013420003,,
4427,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,BEN & JACK'S STEAKHOUSE,"219 E 44TH STREET, Manhattan, NY",219,E 44TH STREET,{e7ea44c0-ed5c-4e5a-877e-5ebbaf59b42a},both,BJ&HR RESTAURANT GROUP LLC,BEN & JACK'S STEAKHOUSE,50067717,64,8,512,24,8,192,yes,yes,yes,1303226,OP,no,,yes,6/23/2020,40.751809,-73.972876,106,4,90,1090529,1013187502,,
4449,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Brooklyn Pizza Masters,"1055 1st Avenue, Manhattan, NY",1055,1st Avenue,{241A9D0D-96B5-46DF-85D1-DD2EC7A76CE9},sidewalk,Brooklyn Pizza Masters LLC,Brooklyn Pizza Masters LLC,50076577,19,15,285,,,,yes,no,yes,1323470,RW,no,,yes,6/23/2020,40.758695,-73.962655,106,5,108,1040014,1013507501,,
4473,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Suzu Sushi Restaurant,"1075 First Avenue , Manhattan, NY",1075,First Avenue,{BC6CCFBB-023C-463A-8CA9-BA2DFF9BFBE0},sidewalk,Li’s Suzu Sushi Inc,Li’s Suzu Sushi Inc,50060119,9,5,45,,,,yes,no,yes,1301532,RW,yes,yes,yes,6/23/2020,40.75936,-73.962167,106,5,108,1040052,1013510028,,
4535,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,Kaoru restaurant,"306  East 46th street, Manhattan, NY",306,East 46th street,{FA80E2C5-CC53-4F7C-850E-B63E9A471CC3},both,KAORU MC CORPORATION,KAORU MC CORPORATION,50092596,22,7,154,22,8,176,yes,yes,yes,1163602,OP,no,,yes,6/23/2020,40.752182,-73.969902,106,4,90,1038770,1013380005,,
4664,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10017,zorba mediterranean grill,"723 3rd ave, Manhattan, NY",723,3rd ave,{D6D99CEE-1E33-407A-8677-533D65453E5A},both,pinar foods inc,zorba mediterranean grill,50101174,16,5,80,16,5,80,yes,yes,no,,,no,,yes,6/23/2020,40.75283,-73.97293,106,4,90,1037583,1013190002,,
4686,Turtle Bay-East Midtown,Turtle Bay-East Midtown,Manhattan,10022,Rosa Mexicano,"1063 First Avenue, Manhattan, NY",1063,First Avenue,{EC5A263F-3950-4846-8D33-EFF0686E20F8},sidewalk,Fenix Rest. Inc.,Rosa Mexicano,40381797,38,6,228,,,,yes,no,yes,1026915,OP,no,,yes,6/23/2020,40.758885,-73.962517,106,5,108,1040007,1013500030,,
